DocumentType;Country;Language;ISIN;DocumentConstraint;RecordDate;ChangeDate;Url;FileSize;Checksum;DisseminationRecipient
MR;GB;en;GB0001441020;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/9f5bc94a8f04b06196423b4705b07381_374402/MR_GB_en_GB0001441020_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;374402;9f5bc94a8f04b06196423b4705b07381;
SID;GB;en;GB0001441020;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001441020_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
MR;GB;en;GB0001441137;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/87d52769e43f381a6e1b1a61181e99b6_627389/MR_GB_en_GB0001441137_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;627389;87d52769e43f381a6e1b1a61181e99b6;
MR;GB;en;GB0001441137;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/e9cf322eea0d6598a773ee9441ebea57_374395/MR_GB_en_GB0001441137_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;374395;e9cf322eea0d6598a773ee9441ebea57;
SID;GB;en;GB0001441137;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001441137_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001441137;YES;31/01/2020;07/02/2020;https://api.fundinfo.com/document/f81119593dccb9957a2a88867b7ff16f_310560/KID_GB_en_GB0001441137_YES_2020-01-31.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;310560;f81119593dccb9957a2a88867b7ff16f;
KID;GB;en;GB0001444479;YES;31/01/2020;05/02/2020;https://api.fundinfo.com/document/d4d3f237b14cb4e667735c8d14cacab3_309857/KID_GB_en_GB0001444479_YES_2020-01-31.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;309857;d4d3f237b14cb4e667735c8d14cacab3;
MR;GB;en;GB0001444479;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/2564198fdc2adecd398bcbaf9f7916d4_535847/MR_GB_en_GB0001444479_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;535847;2564198fdc2adecd398bcbaf9f7916d4;
MR;GB;en;GB0001444479;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/2a23a1d45bc84d8219c57c2957bd1913_362458/MR_GB_en_GB0001444479_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;362458;2a23a1d45bc84d8219c57c2957bd1913;
SID;GB;en;GB0001444479;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001444479_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001444586;YES;12/06/2020;18/06/2020;https://api.fundinfo.com/document/f6e0dbcc5098601a3d7189be16a2ece0_310968/KID_GB_en_GB0001444586_YES_2020-06-12.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;310968;f6e0dbcc5098601a3d7189be16a2ece0;
MR;GB;en;GB0001444586;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/dc85a81a493fe54926fc812f940f28fb_440198/MR_GB_en_GB0001444586_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;440198;dc85a81a493fe54926fc812f940f28fb;
MR;GB;en;GB0001444586;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/76a2215375c6a7ab887f5cfc40f3adbf_268770/MR_GB_en_GB0001444586_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;268770;76a2215375c6a7ab887f5cfc40f3adbf;
SID;GB;en;GB0001444586;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001444586_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
MR;GB;en;GB0001444701;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/b8ec8a86603564781920a3bd8a40dfac_277819/MR_GB_en_GB0001444701_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;277819;b8ec8a86603564781920a3bd8a40dfac;
KID;GB;en;GB0001444701;YES;17/01/2020;25/01/2020;https://api.fundinfo.com/document/a822f8e2b1f49b3e3782477a70c8dfa0_95230/KID_GB_en_GB0001444701_YES_2020-01-17.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;95230;a822f8e2b1f49b3e3782477a70c8dfa0;
MR;GB;en;GB0001444701;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/6d41d9b31db97ce2ade127546f755cf8_535517/MR_GB_en_GB0001444701_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;535517;6d41d9b31db97ce2ade127546f755cf8;
SID;GB;en;GB0001444701;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001444701_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001445229;YES;24/01/2020;31/01/2020;https://api.fundinfo.com/document/9aff95bdf0ede8b3b97237db0313180e_310727/KID_GB_en_GB0001445229_YES_2020-01-24.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;310727;9aff95bdf0ede8b3b97237db0313180e;
MR;GB;en;GB0001445229;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/88c8dda305b9ebb186ef46b16d9dd52f_590595/MR_GB_en_GB0001445229_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;590595;88c8dda305b9ebb186ef46b16d9dd52f;
MR;GB;en;GB0001445229;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/75364d6bf799910c597027217806c6ff_395661/MR_GB_en_GB0001445229_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;395661;75364d6bf799910c597027217806c6ff;
SID;GB;en;GB0001445229;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001445229_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001447597;YES;12/06/2020;18/06/2020;https://api.fundinfo.com/document/e4026bc21204601e03df0011541ae392_311307/KID_GB_en_GB0001447597_YES_2020-06-12.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;311307;e4026bc21204601e03df0011541ae392;
MR;GB;en;GB0001447597;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/e0b3f49c4c9cf829ddd2d17abb3f1c7c_547353/MR_GB_en_GB0001447597_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;547353;e0b3f49c4c9cf829ddd2d17abb3f1c7c;
MR;GB;en;GB0001447597;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/27c913aa8df855f6e4da7077d51b369b_378966/MR_GB_en_GB0001447597_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;378966;27c913aa8df855f6e4da7077d51b369b;
SID;GB;en;GB0001447597;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001447597_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
MR;GB;en;GB0001447936;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/1313f83d7f531226add9e67d5116ea05_440230/MR_GB_en_GB0001447936_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;440230;1313f83d7f531226add9e67d5116ea05;
MR;GB;en;GB0001447936;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/80305c8de777dc43f0fed5d88c245379_268447/MR_GB_en_GB0001447936_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;268447;80305c8de777dc43f0fed5d88c245379;
KID;GB;en;GB0001447936;YES;07/02/2020;19/02/2020;https://api.fundinfo.com/document/e046e5c154ba18fc6d382ba988b61193_310824/KID_GB_en_GB0001447936_YES_2020-02-07.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;310824;e046e5c154ba18fc6d382ba988b61193;
SID;GB;en;GB0001447936;YES;01/09/2016;19/02/2020;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001447936_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001448678;YES;31/01/2020;05/02/2020;https://api.fundinfo.com/document/6e3ab626eb099c7ab44b27ea3127a015_310578/KID_GB_en_GB0001448678_YES_2020-01-31.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;310578;6e3ab626eb099c7ab44b27ea3127a015;
MR;GB;en;GB0001448678;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/44e316575b3ebe23d31f51ec15b90d2b_610170/MR_GB_en_GB0001448678_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;610170;44e316575b3ebe23d31f51ec15b90d2b;
MR;GB;en;GB0001448678;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/41622a4897594fef789bb85d33c9135c_377693/MR_GB_en_GB0001448678_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;377693;41622a4897594fef789bb85d33c9135c;
SID;GB;en;GB0001448678;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001448678_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
SID;GB;en;GB0001448785;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001448785_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001448785;YES;07/02/2020;14/02/2020;https://api.fundinfo.com/document/786999444051086d059b21b8b8277d7b_309699/KID_GB_en_GB0001448785_YES_2020-02-07.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;309699;786999444051086d059b21b8b8277d7b;
MR;GB;en;GB0001448785;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/8940c4c0ce23677f178ee3b07294ab33_505893/MR_GB_en_GB0001448785_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;505893;8940c4c0ce23677f178ee3b07294ab33;
MR;GB;en;GB0001448785;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/afd33759e75c96e61d2cd65c3a92b494_283507/MR_GB_en_GB0001448785_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;283507;afd33759e75c96e61d2cd65c3a92b494;
KID;GB;en;GB0001448892;YES;12/06/2020;18/06/2020;https://api.fundinfo.com/document/6d580c529cc00668a32c872ca39c566a_318252/KID_GB_en_GB0001448892_YES_2020-06-12.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;318252;6d580c529cc00668a32c872ca39c566a;
MR;GB;en;GB0001448892;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/9d92af077b7760c31777246bb63e07e8_283863/MR_GB_en_GB0001448892_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;283863;9d92af077b7760c31777246bb63e07e8;
SID;GB;en;GB0001448892;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001448892_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
SID;GB;en;GB0001448900;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001448900_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001448900;YES;07/02/2020;14/02/2020;https://api.fundinfo.com/document/ae70aef6399945bea4aacdc6ef0b9f2d_309334/KID_GB_en_GB0001448900_YES_2020-02-07.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;309334;ae70aef6399945bea4aacdc6ef0b9f2d;
MR;GB;en;GB0001448900;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/8940c4c0ce23677f178ee3b07294ab33_505893/MR_GB_en_GB0001448900_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;505893;8940c4c0ce23677f178ee3b07294ab33;
MR;GB;en;GB0001448900;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/d952b40cf94201de210d89b299367b9e_283508/MR_GB_en_GB0001448900_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;283508;d952b40cf94201de210d89b299367b9e;
KID;GB;en;GB0001449197;YES;07/02/2020;19/02/2020;https://api.fundinfo.com/document/784194c96a17debf34d3d0c29d81df9c_316620/KID_GB_en_GB0001449197_YES_2020-02-07.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;316620;784194c96a17debf34d3d0c29d81df9c;
MR;GB;en;GB0001449197;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/944ace0d22b58c32fe263461a8f676de_272905/MR_GB_en_GB0001449197_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;272905;944ace0d22b58c32fe263461a8f676de;
SID;GB;en;GB0001449197;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001449197_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001451508;YES;14/02/2020;19/02/2020;https://api.fundinfo.com/document/8420a064782862c177ad5b990572c684_308035/KID_GB_en_GB0001451508_YES_2020-02-14.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;308035;8420a064782862c177ad5b990572c684;
MR;GB;en;GB0001451508;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/5a8b3db16f4b94517649ea77902ee6a8_424260/MR_GB_en_GB0001451508_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;424260;5a8b3db16f4b94517649ea77902ee6a8;
MR;GB;en;GB0001451508;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/08ebf6c0909579e062c39827e01eee94_268161/MR_GB_en_GB0001451508_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;268161;08ebf6c0909579e062c39827e01eee94;
SID;GB;en;GB0001451508;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001451508_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
SID;GB;en;GB0001451615;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001451615_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001451615;YES;31/01/2020;07/02/2020;https://api.fundinfo.com/document/63933a1139b5cbb98f60296a3e65d033_310240/KID_GB_en_GB0001451615_YES_2020-01-31.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;310240;63933a1139b5cbb98f60296a3e65d033;
MR;GB;en;GB0001451615;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/eafaf3ef4d58350ca5f501455ab8eb1f_267668/MR_GB_en_GB0001451615_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;267668;eafaf3ef4d58350ca5f501455ab8eb1f;
KID;GB;en;GB0001451722;YES;07/02/2020;14/02/2020;https://api.fundinfo.com/document/33bcad5a38def37cc845ec236441f041_310652/KID_GB_en_GB0001451722_YES_2020-02-07.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;310652;33bcad5a38def37cc845ec236441f041;
MR;GB;en;GB0001451722;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/e174ac15f2324f52d5585af0345cc523_269290/MR_GB_en_GB0001451722_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;269290;e174ac15f2324f52d5585af0345cc523;
SID;GB;en;GB0001451722;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001451722_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
SID;GB;en;GB0001529121;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001529121_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
KID;GB;en;GB0001529121;YES;31/01/2020;05/02/2020;https://api.fundinfo.com/document/ee27f0e18d6cef495bd331328f166412_310168/KID_GB_en_GB0001529121_YES_2020-01-31.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;310168;ee27f0e18d6cef495bd331328f166412;
MR;GB;en;GB0001529121;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/44e316575b3ebe23d31f51ec15b90d2b_610170/MR_GB_en_GB0001529121_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;610170;44e316575b3ebe23d31f51ec15b90d2b;
MR;GB;en;GB0001529121;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/41622a4897594fef789bb85d33c9135c_377693/MR_GB_en_GB0001529121_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;377693;41622a4897594fef789bb85d33c9135c;
KID;GB;en;GB0001529238;YES;12/06/2020;18/06/2020;https://api.fundinfo.com/document/50467cf8ebad30d808a0cb8d18a32551_311631/KID_GB_en_GB0001529238_YES_2020-06-12.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;311631;50467cf8ebad30d808a0cb8d18a32551;
MR;GB;en;GB0001529238;RES;30/04/2020;03/06/2020;https://api.fundinfo.com/document/e0b3f49c4c9cf829ddd2d17abb3f1c7c_547353/MR_GB_en_GB0001529238_RES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;547353;e0b3f49c4c9cf829ddd2d17abb3f1c7c;
MR;GB;en;GB0001529238;YES;30/04/2020;04/06/2020;https://api.fundinfo.com/document/f89ecb676149fc4655844cf96a0d35d5_378943/MR_GB_en_GB0001529238_YES_2020-04-30.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;378943;f89ecb676149fc4655844cf96a0d35d5;
SID;GB;en;GB0001529238;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001529238_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
SID;GB;en;GB0001529345;YES;01/09/2016;04/10/2017;https://api.fundinfo.com/document/97a52bb39a5b35de016f583d771d6c83_120701/SID_GB_en_GB0001529345_YES_2016-09-01.pdf?apiKey=44f06e90-7d8a-420d-8bb3-3fea5c7bf125;120701;97a52bb39a5b35de016f583d771d6c83;
